Fecha,Volumen Máximo Técnico [GWh],MOI  [GWh],MOS [GWh],Volumen [GWh],Volumen Útil diario [GWh],Capacidad Útil [GWh],Vertimientos [GWh],Volumen Útil diario %,Volumen %
2025-03-01 00:00:00,20071.780000000002,6194.969999999999,10820.300000000001,12249.95,9367.109999999999,17188.94,34.83,"54,49 %","61,03 %"
2025-03-02 00:00:00,20071.780000000002,6122.219999999999,10754.36,12210.33,9327.53,17188.94,38.019999999999996,"54,26 %","60,83 %"
2025-03-03 00:00:00,20071.780000000002,6049.429999999999,10688.41,12157.760000000002,9274.920000000002,17188.94,35.459999999999994,"53,96 %","60,57 %"
2025-03-04 00:00:00,20071.780000000002,5976.6900000000005,10622.479999999998,12144.310000000001,9261.480000000001,17188.94,33.629999999999995,"53,88 %","60,50 %"
2025-03-05 00:00:00,20071.780000000002,5903.95,10556.570000000002,12117.690000000002,9234.87,17188.94,32.99,"53,73 %","60,37 %"
2025-03-06 00:00:00,20071.780000000002,5831.179999999999,10490.6,12094.690000000002,9211.88,17188.94,39.12,"53,59 %","60,26 %"
2025-03-07 00:00:00,20071.780000000002,5758.419999999999,10424.66,12067.880000000001,9185.08,17188.94,43.650000000000006,"53,44 %","60,12 %"
2025-03-08 00:00:00,20071.780000000002,5685.66,10358.720000000001,12032.959999999997,9150.160000000002,17188.94,38.6,"53,23 %","59,95 %"
2025-03-09 00:00:00,20071.780000000002,5612.919999999998,10292.789999999999,11990.11,9107.31,17188.94,35.49,"52,98 %","59,74 %"
2025-03-10 00:00:00,20071.780000000002,5540.159999999999,10226.86,11907.579999999994,9024.769999999999,17188.94,37.41,"52,50 %","59,32 %"
2025-03-11 00:00:00,20071.780000000002,5467.429999999999,10160.93,11835.24,8952.42,17188.94,36.29,"52,08 %","58,96 %"
2025-03-12 00:00:00,20067.7,5394.649999999999,10094.999999999998,11803.65,8921.750000000002,17185.78,40.83,"51,91 %","58,82 %"
2025-03-13 00:00:00,20067.7,5321.900000000001,10029.05,11756.56,8874.65,17185.78,38.53,"51,64 %","58,58 %"
2025-03-14 00:00:00,20067.7,5249.139999999999,9963.11,11703.93,8821.999999999998,17185.78,54.85,"51,33 %","58,32 %"
2025-03-15 00:00:00,20067.7,5176.389999999999,9897.18,11645.649999999998,8763.750000000004,17185.78,60.64,"50,99 %","58,03 %"
2025-03-16 00:00:00,20067.7,5103.639999999999,9831.249999999998,11642.919999999998,8761.03,17185.78,51.96,"50,98 %","58,02 %"
2025-03-17 00:00:00,20067.7,5030.899999999999,9765.32,11679.330000000002,8797.449999999997,17185.78,50.14,"51,19 %","58,20 %"
2025-03-18 00:00:00,20067.7,4958.139999999999,9699.380000000001,11723.519999999999,8841.609999999999,17185.78,54.03,"51,45 %","58,42 %"
2025-03-19 00:00:00,20067.7,4885.37,9633.44,11690.610000000002,8808.739999999998,17185.78,50.309999999999995,"51,26 %","58,26 %"
2025-03-20 00:00:00,20067.7,4812.62,9567.5,11660.170000000002,8778.26,17185.78,45.71,"51,08 %","58,10 %"
2025-03-21 00:00:00,20067.7,4739.869999999999,9501.580000000002,11661.690000000002,8779.81,17185.78,48.89,"51,09 %","58,11 %"
2025-03-22 00:00:00,20067.7,4667.110000000001,9435.640000000003,11651.900000000001,8770.050000000001,17185.78,43.3,"51,03 %","58,06 %"
2025-03-23 00:00:00,20067.7,4594.370000000001,9369.71,11623.07,8741.19,17185.78,36.28,"50,86 %","57,92 %"
2025-03-24 00:00:00,20067.7,4521.620000000001,9303.78,11579.809999999994,8697.93,17185.78,29.94,"50,61 %","57,70 %"
2025-03-25 00:00:00,20067.7,4448.860000000001,9237.83,11504.609999999999,8622.730000000003,17185.78,25.860000000000003,"50,17 %","57,33 %"
2025-03-26 00:00:00,20067.7,4376.080000000001,9171.880000000001,11423.789999999997,8541.899999999998,17185.78,27.669999999999998,"49,70 %","56,93 %"
2025-03-27 00:00:00,20067.7,4303.34,9105.95,11360.289999999999,8478.439999999999,17185.78,24.73,"49,33 %","56,61 %"
2025-03-28 00:00:00,20067.7,4230.6,9040.040000000003,11322.23,8440.31,17185.78,21.27,"49,11 %","56,42 %"
2025-03-29 00:00:00,20067.7,4157.820000000001,8974.070000000002,11313.33,8431.439999999999,17185.78,26.17,"49,06 %","56,38 %"
2025-03-30 00:00:00,20067.7,4085.0599999999995,8908.14,11318.58,8436.66,17185.78,26.56,"49,09 %","56,40 %"
2025-03-31 00:00:00,20067.7,4012.3200000000006,8842.21,11345.46,8463.55,17185.78,39.07,"49,25 %","56,54 %"
2025-04-01 00:00:00,20067.7,3998.9300000000003,8828.18,11372.710000000003,8490.81,17185.78,35.5,"49,41 %","56,67 %"
2025-04-02 00:00:00,20067.7,3985.5399999999995,8814.14,11378.759999999998,8496.85,17185.78,49.85,"49,44 %","56,70 %"
2025-04-03 00:00:00,20067.7,3972.14,8800.110000000002,11386.260000000002,8504.330000000002,17185.78,43.410000000000004,"49,48 %","56,74 %"
2025-04-04 00:00:00,20067.7,3958.7900000000004,8786.120000000003,11410.689999999999,8528.779999999999,17185.78,41.870000000000005,"49,63 %","56,86 %"
2025-04-05 00:00:00,20067.7,3945.350000000001,8772.050000000001,11465.87,8583.98,17185.78,54.99,"49,95 %","57,14 %"
2025-04-06 00:00:00,20067.7,3931.9699999999993,8758.040000000003,11525.21,8643.33,17185.78,38.44,"50,29 %","57,43 %"
2025-04-07 00:00:00,20067.7,3918.6000000000004,8744.030000000002,11577.070000000002,8695.220000000001,17185.78,47.48,"50,60 %","57,69 %"
2025-04-08 00:00:00,20067.7,3905.2199999999993,8729.999999999998,11654.82,8772.949999999999,17185.78,55.1,"51,05 %","58,08 %"
2025-04-09 00:00:00,20069.850000000002,3891.8100000000004,8715.96,11698.070000000002,8814.689999999999,17186.469999999998,51.2,"51,29 %","58,29 %"
2025-04-10 00:00:00,20069.850000000002,3878.4200000000005,8701.940000000002,11864.44,8981.07,17186.469999999998,56.839999999999996,"52,26 %","59,12 %"
2025-04-11 00:00:00,20069.850000000002,3865.019999999999,8687.890000000001,12073.04,9189.689999999999,17186.469999999998,94.89,"53,47 %","60,16 %"
2025-04-12 00:00:00,20069.85,3851.65,8673.88,12171.019999999999,9287.68,17186.469999999998,92.41999999999999,"54,04 %","60,64 %"
2025-04-13 00:00:00,20069.85,3838.280000000001,8659.87,12212.399999999998,9329.03,17186.469999999998,60.900000000000006,"54,28 %","60,85 %"
2025-04-14 00:00:00,20069.85,3824.8899999999994,8645.85,12201.689999999999,9318.300000000001,17186.469999999998,51.74,"54,22 %","60,80 %"
